country,year,age,sex,suicides_no,population
Bahrain,1998,15-24 years,female,0,48147
Bahrain,1998,25-34 years,female,0,51596
Bahrain,1998,35-54 years,female,0,56917
Bahrain,1998,5-14 years,female,0,56626
Bahrain,1998,55-74 years,female,0,14404
Bahrain,1998,75+ years,female,0,2312
Bahrain,1998,15-24 years,male,0,56377
Bahrain,1998,25-34 years,male,0,80849
Bahrain,1998,35-54 years,male,0,101013
Bahrain,1998,5-14 years,male,0,58935
Bahrain,1998,55-74 years,male,0,16409
Bahrain,1998,75+ years,male,0,2423
Bahrain,1999,25-34 years,male,8,82791
Bahrain,1999,35-54 years,male,4,105903
Bahrain,1999,15-24 years,male,2,57914
Bahrain,1999,15-24 years,female,1,49631
Bahrain,1999,25-34 years,female,1,52339
Bahrain,1999,35-54 years,female,1,60568
Bahrain,1999,5-14 years,female,0,58374
Bahrain,1999,55-74 years,female,0,15017
Bahrain,1999,75+ years,female,0,2339
Bahrain,1999,5-14 years,male,0,61554
Bahrain,1999,55-74 years,male,0,16810
Bahrain,1999,75+ years,male,0,2522
Bahrain,2000,25-34 years,male,16,86231
Bahrain,2000,35-54 years,male,10,112060
Bahrain,2000,15-24 years,male,2,59208
Bahrain,2000,25-34 years,female,1,53263
Bahrain,2000,15-24 years,female,0,50968
Bahrain,2000,35-54 years,female,0,64617
Bahrain,2000,5-14 years,female,0,60791
Bahrain,2000,55-74 years,female,0,15556
Bahrain,2000,75+ years,female,0,2394
Bahrain,2000,5-14 years,male,0,65512
Bahrain,2000,55-74 years,male,0,17346
Bahrain,2000,75+ years,male,0,2648
Bahrain,2001,25-34 years,male,8,90920
Bahrain,2001,35-54 years,male,8,118151
Bahrain,2001,55-74 years,male,1,17917
Bahrain,2001,15-24 years,male,2,68309
Bahrain,2001,15-24 years,female,1,54497
Bahrain,2001,25-34 years,female,1,55961
Bahrain,2001,5-14 years,male,1,67127
Bahrain,2001,35-54 years,female,1,67856
Bahrain,2001,5-14 years,female,0,62316
Bahrain,2001,55-74 years,female,0,15791
Bahrain,2001,75+ years,female,0,2544
Bahrain,2001,75+ years,male,0,2694
Bahrain,2002,25-34 years,male,7,97288
Bahrain,2002,35-54 years,male,9,126500
Bahrain,2002,35-54 years,female,4,71376
Bahrain,2002,15-24 years,female,2,57599
Bahrain,2002,15-24 years,male,2,76442
Bahrain,2002,25-34 years,female,1,59350
Bahrain,2002,5-14 years,female,0,63714
Bahrain,2002,55-74 years,female,0,16006
Bahrain,2002,75+ years,female,0,2738
Bahrain,2002,5-14 years,male,0,68596
Bahrain,2002,55-74 years,male,0,18646
Bahrain,2002,75+ years,male,0,2755
Bahrain,2003,35-54 years,male,17,137287
Bahrain,2003,25-34 years,male,9,105799
Bahrain,2003,25-34 years,female,5,63380
Bahrain,2003,15-24 years,male,3,83143
Bahrain,2003,15-24 years,female,0,60298
Bahrain,2003,35-54 years,female,0,75430
Bahrain,2003,5-14 years,female,0,65298
Bahrain,2003,55-74 years,female,0,16343
Bahrain,2003,75+ years,female,0,2946
Bahrain,2003,5-14 years,male,0,70584
Bahrain,2003,55-74 years,male,0,19574
Bahrain,2003,75+ years,male,0,2831
Bahrain,2004,55-74 years,male,4,20717
Bahrain,2004,25-34 years,male,19,116777
Bahrain,2004,35-54 years,male,10,150835
Bahrain,2004,25-34 years,female,3,68052
Bahrain,2004,35-54 years,female,3,80288
Bahrain,2004,15-24 years,male,2,88431
Bahrain,2004,15-24 years,female,1,62699
Bahrain,2004,5-14 years,female,0,67313
Bahrain,2004,55-74 years,female,0,16975
Bahrain,2004,75+ years,female,0,3126
Bahrain,2004,5-14 years,male,0,73422
Bahrain,2004,75+ years,male,0,2924
Bahrain,2005,25-34 years,male,15,142375
Bahrain,2005,35-54 years,male,14,174785
Bahrain,2005,55-74 years,male,2,27261
Bahrain,2005,15-24 years,male,4,79928
Bahrain,2005,25-34 years,female,3,73758
Bahrain,2005,15-24 years,female,2,64792
Bahrain,2005,35-54 years,female,2,92102
Bahrain,2005,5-14 years,female,0,66362
Bahrain,2005,55-74 years,female,0,19983
Bahrain,2005,75+ years,female,0,4389
Bahrain,2005,5-14 years,male,0,69742
Bahrain,2005,75+ years,male,0,4063
Bahrain,2006,25-34 years,male,12,158656
Bahrain,2006,25-34 years,female,5,80271
Bahrain,2006,15-24 years,female,3,69020
Bahrain,2006,55-74 years,male,1,29960
Bahrain,2006,35-54 years,female,3,100668
Bahrain,2006,35-54 years,male,3,192597
Bahrain,2006,15-24 years,male,1,86090
Bahrain,2006,5-14 years,female,0,68590
Bahrain,2006,55-74 years,female,0,21363
Bahrain,2006,75+ years,female,0,4915
Bahrain,2006,5-14 years,male,0,71974
Bahrain,2006,75+ years,male,0,4439
Bahrain,2007,25-34 years,male,14,176938
Bahrain,2007,35-54 years,male,13,212426
Bahrain,2007,55-74 years,male,2,32965
Bahrain,2007,15-24 years,male,5,92875
Bahrain,2007,25-34 years,female,3,87472
Bahrain,2007,35-54 years,female,2,110173
Bahrain,2007,15-24 years,female,1,73617
Bahrain,2007,5-14 years,female,0,70861
Bahrain,2007,55-74 years,female,0,22872
Bahrain,2007,75+ years,female,0,5497
Bahrain,2007,5-14 years,male,0,74222
Bahrain,2007,75+ years,male,0,4852
Bahrain,2008,25-34 years,male,21,196832
Bahrain,2008,35-54 years,male,13,225866
Bahrain,2008,15-24 years,female,3,76246
Bahrain,2008,55-74 years,male,1,35879
Bahrain,2008,35-54 years,female,3,115468
Bahrain,2008,25-34 years,female,2,93449
Bahrain,2008,5-14 years,female,0,72955
Bahrain,2008,55-74 years,female,0,24495
Bahrain,2008,75+ years,female,0,5191
Bahrain,2008,15-24 years,male,0,96458
Bahrain,2008,5-14 years,male,0,76617
Bahrain,2008,75+ years,male,0,4654
Bahrain,2009,35-54 years,male,14,242558
Bahrain,2009,25-34 years,male,9,222448
Bahrain,2009,25-34 years,female,4,99580
Bahrain,2009,15-24 years,male,4,102256
Bahrain,2009,55-74 years,male,1,38002
Bahrain,2009,5-14 years,male,2,79180
Bahrain,2009,35-54 years,female,2,118835
Bahrain,2009,15-24 years,female,0,80832
Bahrain,2009,5-14 years,female,0,75122
Bahrain,2009,55-74 years,female,0,25915
Bahrain,2009,75+ years,female,0,4103
Bahrain,2009,75+ years,male,0,4091
Bahrain,2010,35-54 years,male,8,252232
Bahrain,2010,25-34 years,male,6,235591
Bahrain,2010,55-74 years,male,1,41999
Bahrain,2010,35-54 years,female,2,125709
Bahrain,2010,15-24 years,female,1,80571
Bahrain,2010,25-34 years,female,1,104368
Bahrain,2010,5-14 years,female,0,77140
Bahrain,2010,55-74 years,female,0,27834
Bahrain,2010,75+ years,female,0,4625
Bahrain,2010,15-24 years,male,0,103388
Bahrain,2010,5-14 years,male,0,81414
Bahrain,2010,75+ years,male,0,4289
Bahrain,2011,15-24 years,male,3,101695
Bahrain,2011,55-74 years,male,1,43883
Bahrain,2011,25-34 years,female,2,98138
Bahrain,2011,25-34 years,male,4,220691
Bahrain,2011,35-54 years,male,4,242955
Bahrain,2011,35-54 years,female,2,123582
Bahrain,2011,15-24 years,female,1,75788
Bahrain,2011,5-14 years,female,1,77270
Bahrain,2011,55-74 years,female,0,29140
Bahrain,2011,75+ years,female,0,4742
Bahrain,2011,5-14 years,male,0,81209
Bahrain,2011,75+ years,male,0,4369
Bahrain,2012,25-34 years,male,11,237133
Bahrain,2012,35-54 years,male,6,268027
Bahrain,2012,25-34 years,female,1,110796
Bahrain,2012,15-24 years,male,1,111603
Bahrain,2012,15-24 years,female,0,81091
Bahrain,2012,35-54 years,female,0,135976
Bahrain,2012,5-14 years,female,0,81275
Bahrain,2012,55-74 years,female,0,31641
Bahrain,2012,75+ years,female,0,4548
Bahrain,2012,5-14 years,male,0,85538
Bahrain,2012,55-74 years,male,0,50001
Bahrain,2012,75+ years,male,0,4149
Bahrain,2013,15-24 years,male,1,110064
Bahrain,2013,25-34 years,male,2,237632
Bahrain,2013,35-54 years,male,2,269162
Bahrain,2013,15-24 years,female,0,80476
Bahrain,2013,25-34 years,female,0,112513
Bahrain,2013,35-54 years,female,0,139352
Bahrain,2013,5-14 years,female,0,82726
Bahrain,2013,55-74 years,female,0,33780
Bahrain,2013,75+ years,female,0,4859
Bahrain,2013,5-14 years,male,0,86269
Bahrain,2013,55-74 years,male,0,53308
Bahrain,2013,75+ years,male,0,4351
Bahrain,2014,15-24 years,male,4,100635
Bahrain,2014,25-34 years,male,3,237952
Bahrain,2014,25-34 years,female,1,110838
Bahrain,2014,35-54 years,male,1,258922
Bahrain,2014,15-24 years,female,0,78926
Bahrain,2014,35-54 years,female,0,139103
Bahrain,2014,5-14 years,female,0,82452
Bahrain,2014,55-74 years,female,0,41406
Bahrain,2014,75+ years,female,0,6154
Bahrain,2014,5-14 years,male,0,86539
Bahrain,2014,55-74 years,male,0,64351
Bahrain,2014,75+ years,male,0,6688
Lithuania,1995,35-54 years,male,632,436306
Lithuania,1995,75+ years,male,67,47214
Lithuania,1995,55-74 years,male,325,274196
Lithuania,1995,25-34 years,male,226,284758
Lithuania,1995,15-24 years,male,134,263792
Lithuania,1995,75+ years,female,37,109609
Lithuania,1995,55-74 years,female,101,408926
Lithuania,1995,35-54 years,female,113,481445
Lithuania,1995,25-34 years,female,33,276055
Lithuania,1995,15-24 years,female,20,256623
Lithuania,1995,5-14 years,male,4,279260
Lithuania,1995,5-14 years,female,2,268965
Lithuania,1996,35-54 years,male,664,438770
Lithuania,1996,55-74 years,male,336,275843
Lithuania,1996,75+ years,male,40,47319
Lithuania,1996,25-34 years,male,196,278848
Lithuania,1996,15-24 years,male,147,257675
Lithuania,1996,75+ years,female,39,110913
Lithuania,1996,55-74 years,female,118,410808
Lithuania,1996,35-54 years,female,129,484132
Lithuania,1996,25-34 years,female,27,271013
Lithuania,1996,15-24 years,female,20,251718
Lithuania,1996,5-14 years,male,5,279323
Lithuania,1996,5-14 years,female,1,268801
Lithuania,1997,35-54 years,male,637,440546
Lithuania,1997,55-74 years,male,294,277983
Lithuania,1997,25-34 years,male,231,272292
Lithuania,1997,75+ years,male,39,47892
Lithuania,1997,15-24 years,male,144,252818
Lithuania,1997,75+ years,female,29,113485
Lithuania,1997,55-74 years,female,94,412839
Lithuania,1997,35-54 years,female,109,485204
Lithuania,1997,25-34 years,female,31,266372
Lithuania,1997,15-24 years,female,17,247246
Lithuania,1997,5-14 years,female,4,268373
Lithuania,1997,5-14 years,male,3,279223
Lithuania,1998,35-54 years,male,557,442825
Lithuania,1998,55-74 years,male,345,278617
Lithuania,1998,75+ years,male,47,49012
Lithuania,1998,25-34 years,male,222,265304
Lithuania,1998,15-24 years,male,112,250687
Lithuania,1998,75+ years,female,40,117165
Lithuania,1998,35-54 years,female,107,486222
Lithuania,1998,55-74 years,female,80,412652
Lithuania,1998,15-24 years,female,22,244923
Lithuania,1998,25-34 years,female,18,261722
Lithuania,1998,5-14 years,male,2,276408
Lithuania,1998,5-14 years,female,1,265436
Lithuania,1999,35-54 years,male,592,446764
Lithuania,1999,55-74 years,male,284,277228
Lithuania,1999,75+ years,male,48,50173
Lithuania,1999,25-34 years,male,224,257244
Lithuania,1999,15-24 years,male,129,251394
Lithuania,1999,75+ years,female,37,121573
Lithuania,1999,55-74 years,female,84,409039
Lithuania,1999,35-54 years,female,97,489403
Lithuania,1999,15-24 years,female,24,244706
Lithuania,1999,25-34 years,female,22,256587
Lithuania,1999,5-14 years,male,8,270111
Lithuania,1999,5-14 years,female,1,259230
Lithuania,2000,35-54 years,male,595,451103
Lithuania,2000,55-74 years,male,324,276055
Lithuania,2000,25-34 years,male,221,249865
Lithuania,2000,75+ years,male,40,50557
Lithuania,2000,15-24 years,male,131,252489
Lithuania,2000,75+ years,female,36,124608
Lithuania,2000,55-74 years,female,101,405061
Lithuania,2000,35-54 years,female,121,493992
Lithuania,2000,25-34 years,female,31,252324
Lithuania,2000,15-24 years,female,25,245035
Lithuania,2000,5-14 years,male,6,262637
Lithuania,2000,5-14 years,female,0,251399
Lithuania,2001,35-54 years,male,559,453841
Lithuania,2001,55-74 years,male,322,276422
Lithuania,2001,75+ years,male,57,51713
Lithuania,2001,25-34 years,male,190,243174
Lithuania,2001,15-24 years,male,119,253439
Lithuania,2001,75+ years,female,40,128791
Lithuania,2001,35-54 years,female,113,496684
Lithuania,2001,55-74 years,female,87,402028
Lithuania,2001,25-34 years,female,19,247712
Lithuania,2001,15-24 years,female,18,245848
Lithuania,2001,5-14 years,male,8,252622
Lithuania,2001,5-14 years,female,1,241864
Lithuania,2002,35-54 years,male,613,456468
Lithuania,2002,55-74 years,male,285,275961
Lithuania,2002,75+ years,male,47,54325
Lithuania,2002,25-34 years,male,204,237814
Lithuania,2002,15-24 years,male,156,255044
Lithuania,2002,75+ years,female,39,135785
Lithuania,2002,55-74 years,female,85,399066
Lithuania,2002,35-54 years,female,74,498421
Lithuania,2002,25-34 years,female,28,242244
Lithuania,2002,15-24 years,female,15,247514
Lithuania,2002,5-14 years,male,4,240849
Lithuania,2002,5-14 years,female,1,230997
Lithuania,2003,35-54 years,male,529,458658
Lithuania,2003,55-74 years,male,288,274066
Lithuania,2003,75+ years,male,53,57169
Lithuania,2003,25-34 years,male,205,233362
Lithuania,2003,15-24 years,male,122,255707
Lithuania,2003,75+ years,female,36,143383
Lithuania,2003,35-54 years,female,111,499080
Lithuania,2003,55-74 years,female,72,396850
Lithuania,2003,25-34 years,female,24,237053
Lithuania,2003,15-24 years,female,11,247710
Lithuania,2003,5-14 years,female,2,220424
Lithuania,2003,5-14 years,male,2,230665
Lithuania,2004,35-54 years,male,491,457735
Lithuania,2004,55-74 years,male,271,272871
Lithuania,2004,25-34 years,male,193,227897
Lithuania,2004,75+ years,male,48,60017
Lithuania,2004,15-24 years,male,115,254022
Lithuania,2004,75+ years,female,41,150000
Lithuania,2004,35-54 years,female,98,496461
Lithuania,2004,55-74 years,female,73,395331
Lithuania,2004,25-34 years,female,24,231241
Lithuania,2004,15-24 years,female,19,245226
Lithuania,2004,5-14 years,male,6,221380
Lithuania,2004,5-14 years,female,1,210788
Lithuania,2005,55-74 years,male,289,271641
Lithuania,2005,35-54 years,male,469,453800
Lithuania,2005,75+ years,male,52,62849
Lithuania,2005,25-34 years,male,172,221170
Lithuania,2005,15-24 years,male,100,249053
Lithuania,2005,75+ years,female,34,154994
Lithuania,2005,55-74 years,female,86,393282
Lithuania,2005,35-54 years,female,84,492082
Lithuania,2005,25-34 years,female,19,223982
Lithuania,2005,15-24 years,female,11,240386
Lithuania,2005,5-14 years,male,2,211022
Lithuania,2005,5-14 years,female,1,200467
Lithuania,2006,55-74 years,male,238,269578
Lithuania,2006,35-54 years,male,366,450132
Lithuania,2006,75+ years,male,51,65428
Lithuania,2006,25-34 years,male,96,214726
Lithuania,2006,15-24 years,male,97,244528
Lithuania,2006,75+ years,female,37,159540
Lithuania,2006,55-74 years,female,59,390589
Lithuania,2006,35-54 years,female,70,488597
Lithuania,2006,25-34 years,female,19,217069
Lithuania,2006,15-24 years,female,10,236885
Lithuania,2006,5-14 years,male,5,199438
Lithuania,2006,5-14 years,female,1,189257
Lithuania,2007,55-74 years,male,220,267333
Lithuania,2007,75+ years,male,51,67551
Lithuania,2007,35-54 years,male,326,447405
Lithuania,2007,25-34 years,male,146,210164
Lithuania,2007,15-24 years,male,101,243589
Lithuania,2007,75+ years,female,40,164150
Lithuania,2007,35-54 years,female,60,485943
Lithuania,2007,55-74 years,female,46,387684
Lithuania,2007,25-34 years,female,17,212154
Lithuania,2007,15-24 years,female,10,236177
Lithuania,2007,5-14 years,female,4,177982
Lithuania,2007,5-14 years,male,4,187735
Lithuania,2008,35-54 years,male,401,444829
Lithuania,2008,75+ years,male,56,69533
Lithuania,2008,25-34 years,male,155,207780
Lithuania,2008,55-74 years,male,190,264954
Lithuania,2008,15-24 years,male,114,242106
Lithuania,2008,75+ years,female,36,168662
Lithuania,2008,55-74 years,female,60,384300
Lithuania,2008,35-54 years,female,65,483453
Lithuania,2008,15-24 years,female,17,234198
Lithuania,2008,25-34 years,female,15,208792
Lithuania,2008,5-14 years,male,2,177345
Lithuania,2008,5-14 years,female,0,167804
Lithuania,2009,35-54 years,male,428,440281
Lithuania,2009,55-74 years,male,239,263507
Lithuania,2009,75+ years,male,57,71090
Lithuania,2009,25-34 years,male,116,205749
Lithuania,2009,15-24 years,male,109,237032
Lithuania,2009,75+ years,female,40,172277
Lithuania,2009,35-54 years,female,65,480247
Lithuania,2009,55-74 years,female,48,381948
Lithuania,2009,25-34 years,female,15,205781
Lithuania,2009,15-24 years,female,16,229147
Lithuania,2009,5-14 years,male,3,169250
Lithuania,2009,5-14 years,female,2,160188
Lithuania,2010,55-74 years,male,219,262907
Lithuania,2010,35-54 years,male,357,430396
Lithuania,2010,75+ years,male,49,72479
Lithuania,2010,25-34 years,male,110,198028
Lithuania,2010,15-24 years,male,93,227810
Lithuania,2010,75+ years,female,41,175611
Lithuania,2010,35-54 years,female,72,471491
Lithuania,2010,55-74 years,female,50,380465
Lithuania,2010,15-24 years,female,14,218961
Lithuania,2010,25-34 years,female,11,196906
Lithuania,2010,5-14 years,female,1,153084
Lithuania,2010,5-14 years,male,1,161599
Lithuania,2011,35-54 years,male,349,420391
Lithuania,2011,55-74 years,male,213,262391
Lithuania,2011,75+ years,male,56,74328
Lithuania,2011,25-34 years,male,124,189937
Lithuania,2011,15-24 years,male,74,217769
Lithuania,2011,75+ years,female,38,179526
Lithuania,2011,55-74 years,female,68,378929
Lithuania,2011,35-54 years,female,67,460566
Lithuania,2011,25-34 years,female,17,187312
Lithuania,2011,15-24 years,female,10,207726
Lithuania,2011,5-14 years,female,1,146411
Lithuania,2011,5-14 years,male,1,154519
Lithuania,2012,35-54 years,male,321,413107
Lithuania,2012,55-74 years,male,195,263194
Lithuania,2012,75+ years,male,53,76080
Lithuania,2012,25-34 years,male,117,187811
Lithuania,2012,15-24 years,male,64,209964
Lithuania,2012,75+ years,female,37,183510
Lithuania,2012,35-54 years,female,74,451819
Lithuania,2012,55-74 years,female,45,378541
Lithuania,2012,25-34 years,female,10,183799
Lithuania,2012,15-24 years,female,8,199629
Lithuania,2012,5-14 years,male,3,149055
Lithuania,2012,5-14 years,female,0,141261
Lithuania,2013,35-54 years,male,382,405191
Lithuania,2013,55-74 years,male,223,265835
Lithuania,2013,75+ years,male,63,77510
Lithuania,2013,25-34 years,male,121,188010
Lithuania,2013,15-24 years,male,96,203647
Lithuania,2013,75+ years,female,40,186711
Lithuania,2013,35-54 years,female,75,442140
Lithuania,2013,25-34 years,female,22,182444
Lithuania,2013,55-74 years,female,41,380096
Lithuania,2013,15-24 years,female,17,192772
Lithuania,2013,5-14 years,female,3,137471
Lithuania,2013,5-14 years,male,2,144800
Lithuania,2014,75+ years,male,72,78763
Lithuania,2014,35-54 years,male,309,396758
Lithuania,2014,55-74 years,male,204,269618
Lithuania,2014,25-34 years,male,94,189300
Lithuania,2014,15-24 years,male,88,197504
Lithuania,2014,75+ years,female,45,189437
Lithuania,2014,55-74 years,female,47,383128
Lithuania,2014,35-54 years,female,43,431495
Lithuania,2014,15-24 years,female,12,186406
Lithuania,2014,25-34 years,female,11,182183
Lithuania,2014,5-14 years,female,3,135051
Lithuania,2014,5-14 years,male,2,141934
Lithuania,2015,75+ years,male,67,79672
Lithuania,2015,55-74 years,male,216,273776
Lithuania,2015,35-54 years,male,275,387255
Lithuania,2015,25-34 years,male,101,190800
Lithuania,2015,15-24 years,male,66,188903
Lithuania,2015,75+ years,female,38,191358
Lithuania,2015,55-74 years,female,55,386892
Lithuania,2015,35-54 years,female,46,419841
Lithuania,2015,25-34 years,female,17,182926
Lithuania,2015,15-24 years,female,10,178882
Lithuania,2015,5-14 years,female,3,133506
Lithuania,2015,5-14 years,male,2,140115
Lithuania,2016,75+ years,male,78,80426
Lithuania,2016,55-74 years,male,212,277763
Lithuania,2016,35-54 years,male,266,376689
Lithuania,2016,25-34 years,male,96,191346
Lithuania,2016,15-24 years,male,41,177888
Lithuania,2016,75+ years,female,29,193001
Lithuania,2016,55-74 years,female,45,390385
Lithuania,2016,35-54 years,female,41,406249
Lithuania,2016,25-34 years,female,8,182632
Lithuania,2016,15-24 years,female,6,168917
Sri Lanka,1985,75+ years,male,144,115000
Sri Lanka,1985,15-24 years,male,1432,1673000
Sri Lanka,1985,25-34 years,male,1024,1288000
Sri Lanka,1985,55-74 years,male,443,680000
Sri Lanka,1985,15-24 years,female,943,1652000
Sri Lanka,1985,35-54 years,male,824,1469000
Sri Lanka,1985,25-34 years,female,426,1268000
Sri Lanka,1985,75+ years,female,23,106000
Sri Lanka,1985,35-54 years,female,203,1402000
Sri Lanka,1985,55-74 years,female,80,600000
Sri Lanka,1985,5-14 years,male,71,1836000
Sri Lanka,1985,5-14 years,female,55,1768000
Sri Lanka,1986,75+ years,male,145,117200
Sri Lanka,1986,25-34 years,male,1045,1310300
Sri Lanka,1986,15-24 years,male,1304,1702300
Sri Lanka,1986,55-74 years,male,461,690600
Sri Lanka,1986,35-54 years,male,851,1495400
Sri Lanka,1986,15-24 years,female,804,1680400
Sri Lanka,1986,25-34 years,female,365,1290400
Sri Lanka,1986,75+ years,female,22,109400
Sri Lanka,1986,35-54 years,female,193,1425200
Sri Lanka,1986,55-74 years,female,72,611700
Sri Lanka,1986,5-14 years,male,48,1868800
Sri Lanka,1986,5-14 years,female,35,1799700
Sri Lanka,1996,75+ years,male,146,191662
Sri Lanka,1996,55-74 years,male,648,919081
Sri Lanka,1996,25-34 years,male,918,1524411
Sri Lanka,1996,35-54 years,male,1211,2095820
Sri Lanka,1996,15-24 years,male,768,1772399
Sri Lanka,1996,15-24 years,female,500,1726757
Sri Lanka,1996,25-34 years,female,284,1516469
Sri Lanka,1996,75+ years,female,30,196180
Sri Lanka,1996,35-54 years,female,228,2135855
Sri Lanka,1996,55-74 years,female,102,966021
Sri Lanka,1996,5-14 years,male,37,1840930
Sri Lanka,1996,5-14 years,female,26,1768842
Sri Lanka,1997,75+ years,male,181,195537
Sri Lanka,1997,25-34 years,male,1109,1514832
Sri Lanka,1997,55-74 years,male,649,930446
Sri Lanka,1997,35-54 years,male,1491,2161948
Sri Lanka,1997,15-24 years,male,924,1779781
Sri Lanka,1997,15-24 years,female,623,1738059
Sri Lanka,1997,75+ years,female,53,201309
Sri Lanka,1997,25-34 years,female,341,1514575
Sri Lanka,1997,35-54 years,female,313,2204629
Sri Lanka,1997,55-74 years,female,118,984037
Sri Lanka,1997,5-14 years,female,49,1739451
Sri Lanka,1997,5-14 years,male,36,1810805
Sri Lanka,1998,75+ years,male,214,197754
Sri Lanka,1998,55-74 years,male,677,946470
Sri Lanka,1998,35-54 years,male,1567,2224435
Sri Lanka,1998,25-34 years,male,968,1499623
Sri Lanka,1998,15-24 years,male,740,1792565
Sri Lanka,1998,15-24 years,female,522,1753245
Sri Lanka,1998,25-34 years,female,310,1508958
Sri Lanka,1998,75+ years,female,32,205515
Sri Lanka,1998,35-54 years,female,278,2271131
Sri Lanka,1998,55-74 years,female,118,1006698
Sri Lanka,1998,5-14 years,female,52,1710834
Sri Lanka,1998,5-14 years,male,40,1780463
Sri Lanka,1999,75+ years,male,182,198230
Sri Lanka,1999,35-54 years,male,1609,2281687
Sri Lanka,1999,55-74 years,male,683,968940
Sri Lanka,1999,25-34 years,male,997,1481693
Sri Lanka,1999,15-24 years,male,765,1805721
Sri Lanka,1999,15-24 years,female,536,1767426
Sri Lanka,1999,75+ years,female,49,208739
Sri Lanka,1999,25-34 years,female,303,1501778
Sri Lanka,1999,35-54 years,female,304,2334618
Sri Lanka,1999,55-74 years,female,121,1035715
Sri Lanka,1999,5-14 years,female,35,1684408
Sri Lanka,1999,5-14 years,male,35,1751332
Sri Lanka,2000,75+ years,male,200,196877
Sri Lanka,2000,55-74 years,male,729,999107
Sri Lanka,2000,35-54 years,male,1521,2331906
Sri Lanka,2000,25-34 years,male,873,1464384
Sri Lanka,2000,15-24 years,male,615,1815183
Sri Lanka,2000,15-24 years,female,504,1776940
Sri Lanka,2000,25-34 years,female,288,1495529
Sri Lanka,2000,75+ years,female,40,210936
Sri Lanka,2000,35-54 years,female,309,2394085
Sri Lanka,2000,55-74 years,female,125,1072256
Sri Lanka,2000,5-14 years,female,27,1659830
Sri Lanka,2000,5-14 years,male,21,1723309
Sri Lanka,2001,75+ years,male,162,204801
Sri Lanka,2001,55-74 years,male,671,1025106
Sri Lanka,2001,35-54 years,male,1468,2362538
Sri Lanka,2001,25-34 years,male,755,1469938
Sri Lanka,2001,15-24 years,male,508,1811743
Sri Lanka,2001,15-24 years,female,394,1778830
Sri Lanka,2001,25-34 years,female,224,1503451
Sri Lanka,2001,75+ years,female,31,222745
Sri Lanka,2001,35-54 years,female,244,2437630
Sri Lanka,2001,55-74 years,female,100,1109859
Sri Lanka,2001,5-14 years,male,18,1699714
Sri Lanka,2001,5-14 years,female,15,1640606
Sri Lanka,2002,75+ years,male,165,211446
Sri Lanka,2002,35-54 years,male,1476,2389646
Sri Lanka,2002,55-74 years,male,641,1055685
Sri Lanka,2002,25-34 years,male,639,1478000
Sri Lanka,2002,15-24 years,male,520,1799884
Sri Lanka,2002,15-24 years,female,335,1772766
Sri Lanka,2002,25-34 years,female,213,1514774
Sri Lanka,2002,75+ years,female,31,234216
Sri Lanka,2002,55-74 years,female,106,1153099
Sri Lanka,2002,35-54 years,female,204,2477980
Sri Lanka,2002,5-14 years,female,28,1626383
Sri Lanka,2002,5-14 years,male,24,1682076
Sri Lanka,2003,75+ years,male,190,216549
Sri Lanka,2003,55-74 years,male,690,1089743
Sri Lanka,2003,35-54 years,male,1483,2413016
